Column Name,Description,Example / Notes
SprintNumber,Sequential identifier for the sprint in which the task is planned or executed. Used for sorting and tracking over time.,1
SprintName,"Descriptive sprint title, usually including the sprint number and date range.",PIBIDS Sprint 1 – 2025-10-29 to 2025-11-11
SprintStartDt,Start date of the sprint. Used for timeline filtering and scheduling.,2025-10-29
SprintEndDt,End date of the sprint. Marks the closure of that sprint cycle.,2025-11-11
DaysOpen,Number of days the ticket has remained open since creation.,Auto-calculated based on TicketCreatedDt
CustomerPriority,"Priority of the request (1 = Lowest, 5 = Highest, 0 = No longer needed).",5
DependencyOn,"The team, individual, or system that the task depends on for information, testing, or completion — either before work begins or during implementation.",Enterprise IS – API setup; CoreLab - Build Testing;
DependenciesLead,Main contact or lead responsible for resolving the dependency.,Alex Johnson (IS); Dan Lincoln (CoreLab)
DependencySecured,"Indicates if the dependency has been secured or cleared. Suggested values: Yes, Pending, No, NA.",Pending
Comments,"Free-text field for notes, blockers, updates, or discussion items captured during meetings. Add date when these comments are added.","2025-10-29: Got confirmation from CoreLab vendor confirmation; 
2025-10-30: Emailed but awaiting confirmation on participation from IS"
TicketType,"Ticket type: Incident Request (IR), Service Request (SR), Project Request (PR), or Not Categorized (NC).",Auto-populated from iTrack export based on Ticket summary prefix.
Section,"Identifies the lab section, team, or program area where the request or task originated. Helps categorize and filter cross-functional work.",Auto-populated from iTrack export
TicketNum,Ticket ID from iTrack (iTrack field: Parent ID). Used for traceability.,Auto-populated from iTrack export
TaskNum,iTrack task ID (iTrack field: Task). Used for internal reference and tracking effort.,Auto-populated from iTrack export
Status,"Current progress state of the task. Recommended values: Planned, In Progress, Blocked, Completed, Deferred.",Auto-populated from iTrack export
AssignedTo,Primary PIBIDS team member responsible for completing the task.,Auto-populated from iTrack export
CustomerName,Name of lab user who submitted the ticket. Pulled from iTrack field Customer Inc / Customer SR.,Auto-populated from iTrack export
Subject,Short description/title of ticket request. Pulled from iTrack.,Auto-populated from iTrack export
TicketCreatedDt,"Ticket logged date.  In iTrack terminology it aquires value from ""Created Inc"" or ""Created SR"" fields.",Auto-populated from iTrack export
TaskCreatedDt,"Task created date. In iTrack terminology it ""Created On"" field.",Auto-populated from iTrack export
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
